studyName,Individual ID,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0708,N1A1,NA,NA,Not enough blood for isotopes.
PAL0708,N1A2,8.94956,-24.69454,NA
PAL0708,N2A1,8.3682099999999995,-25.333020000000001,NA
PAL0708,N2A2,NA,NA,Adult not sampled.
PAL0708,N3A1,8.7665100000000002,-25.324259999999999,NA
PAL0708,N3A2,8.6649600000000007,-25.29805,NA
PAL0708,N4A1,9.1871799999999997,-25.21799,Nest never observed with full clutch.
PAL0708,N4A2,9.4605999999999995,-24.89958,Nest never observed with full clutch.
PAL0708,N5A1,NA,NA,No blood sample obtained.
PAL0708,N5A2,9.1336200000000005,-25.093679999999999,No blood sample obtained for sexing.
PAL0708,N6A1,8.6324299999999994,-25.213149999999999,No blood sample obtained for sexing.
PAL0708,N6A2,NA,NA,No blood sample obtained.
PAL0708,N7A1,NA,NA,Not enough blood for isotopes.
PAL0708,N7A2,NA,NA,Not enough blood for isotopes.
PAL0708,N8A1,8.5558300000000003,-25.22588,NA
PAL0708,N8A2,NA,NA,Not enough blood for isotopes.
PAL0708,N9A1,9.1852800000000006,-25.06691,NA
PAL0708,N9A2,8.6753800000000005,-25.13993,NA
PAL0708,N10A1,8.4782700000000002,-25.23319,NA
PAL0708,N10A2,9.1161600000000007,-24.772269999999999,NA
PAL0708,N11A1,8.7376199999999997,-25.093830000000001,NA
PAL0708,N11A2,8.6627100000000006,-25.0639,NA
PAL0708,N12A1,9.2228600000000007,-25.034739999999999,NA
PAL0708,N12A2,8.4342299999999994,-25.22664,NA
PAL0708,N13A1,9.6395400000000002,-25.298559999999998,NA
PAL0708,N13A2,9.2129200000000004,-24.3613,NA
PAL0708,N17A1,8.9399700000000006,-25.362880000000001,NA
PAL0708,N17A2,8.0813799999999993,-25.494479999999999,NA
PAL0708,N18A1,8.3840400000000006,-25.198370000000001,Nest never observed with full clutch.
PAL0708,N18A2,8.9002700000000008,-25.11609,Nest never observed with full clutch.
PAL0708,N21A1,9.6975599999999993,-25.11223,NA
PAL0708,N21A2,9.7276399999999992,-25.010200000000001,NA
PAL0708,N22A1,9.6652299999999993,-25.060199999999998,NA
PAL0708,N22A2,8.7966499999999996,-25.145910000000001,NA
PAL0708,N23A1,9.1784700000000008,-25.230609999999999,NA
PAL0708,N23A2,9.1530799999999992,-25.034690000000001,NA
PAL0708,N24A1,9.1898499999999999,-25.12255,NA
PAL0708,N24A2,8.0478699999999996,-25.495229999999999,NA
PAL0708,N25A1,9.4113100000000003,-25.041689999999999,Nest never observed with full clutch.
PAL0708,N25A2,NA,NA,Nest never observed with full clutch. Not enough blood for isotopes.
PAL0708,N26A1,9.68933,-24.422799999999999,NA
PAL0708,N26A2,NA,NA,Not enough blood for isotopes.
PAL0708,N27A1,9.5077200000000008,-25.03492,NA
PAL0708,N27A2,9.2371999999999996,-24.526979999999998,NA
PAL0708,N28A1,9.3639200000000002,-25.01745,NA
PAL0708,N28A2,9.4910599999999992,-24.102550000000001,NA
PAL0708,N29A1,NA,NA,Not enough blood for isotopes.
PAL0708,N29A2,NA,NA,Sexing primers did not amplify. Not enough blood for isotopes.
PAL0708,N30A1,9.5178399999999996,-25.076830000000001,NA
PAL0708,N30A2,8.87988,-25.18543,NA
PAL0809,N21A1,8.4661600000000004,-26.12989,NA
PAL0809,N21A2,8.5136199999999995,-26.55602,NA
PAL0809,N22A1,8.1953899999999997,-26.172129999999999,NA
PAL0809,N22A2,8.48095,-26.314599999999999,NA
PAL0809,N23A1,8.4183699999999995,-26.547180000000001,NA
PAL0809,N23A2,8.3539600000000007,-26.27853,NA
PAL0809,N24A1,8.5719899999999996,-26.07188,NA
PAL0809,N24A2,8.5667399999999994,-25.988430000000001,NA
PAL0809,N25A1,9.0787800000000001,-25.88156,NA
PAL0809,N25A2,9.1080000000000005,-25.89677,NA
PAL0809,N27A1,8.9647199999999998,-26.40943,NA
PAL0809,N27A2,8.7480200000000004,-26.37809,NA
PAL0809,N28A1,8.5806299999999993,-26.215689999999999,NA
PAL0809,N28A2,8.6226400000000005,-26.60023,NA
PAL0809,N29A1,8.6262299999999996,-26.116499999999998,NA
PAL0809,N29A2,8.85562,-26.092939999999999,NA
PAL0809,N30A1,8.5619200000000006,-25.955410000000001,NA
PAL0809,N30A2,8.7107799999999997,-25.810120000000001,NA
PAL0809,N32A1,8.4778099999999998,-26.078209999999999,Nest never observed with full clutch.
PAL0809,N32A2,8.8685299999999998,-26.062090000000001,Nest never observed with full clutch.
PAL0809,N34A1,7.88863,-26.630849999999999,NA
PAL0809,N34A2,9.2980800000000006,-25.234529999999999,NA
PAL0809,N35A1,8.3352400000000006,-26.553509999999999,NA
PAL0809,N35A2,8.1865799999999993,-26.459779999999999,NA
PAL0809,N36A1,8.7064199999999996,-26.150030000000001,NA
PAL0809,N36A2,8.2993000000000006,-26.389859999999999,NA
PAL0809,N37A1,8.4725699999999993,-26.020019999999999,NA
PAL0809,N37A2,8.3553999999999995,-26.447870000000002,NA
PAL0809,N38A1,7.8238099999999999,-26.513819999999999,NA
PAL0809,N38A2,9.0573599999999992,-25.81513,NA
PAL0809,N39A1,7.6977799999999998,-26.538699999999999,NA
PAL0809,N39A2,8.6325900000000004,-26.230270000000001,NA
PAL0809,N40A1,7.8849400000000003,-26.248370000000001,NA
PAL0809,N40A2,8.9000199999999996,-26.462540000000001,NA
PAL0809,N41A1,8.3271800000000002,-26.383959999999998,NA
PAL0809,N41A2,9.1486300000000007,-26.096350000000001,NA
PAL0809,N42A1,8.5708699999999993,-26.222270000000002,NA
PAL0809,N42A2,8.5914699999999993,-26.08165,NA
PAL0809,N44A1,9.0782600000000002,-26.124169999999999,NA
PAL0809,N44A2,8.3693600000000004,-26.111989999999999,NA
PAL0809,N45A1,8.4653100000000006,-26.05621,NA
PAL0809,N45A2,8.7701799999999999,-25.83352,NA
PAL0809,N46A1,8.0148499999999991,-26.695430000000002,NA
PAL0809,N46A2,8.4991500000000002,-26.424060000000001,NA
PAL0809,N48A1,8.9072300000000002,-26.300370000000001,NA
PAL0809,N48A2,8.4820399999999996,-26.579409999999999,NA
PAL0809,N49A1,8.1027699999999996,-26.500859999999999,NA
PAL0809,N49A2,8.3945900000000009,-26.011520000000001,NA
PAL0809,N50A1,9.0421800000000001,-26.15775,NA
PAL0809,N50A2,8.9702500000000001,-26.03679,NA
PAL0910,N47A1,8.8445099999999996,-26.280550000000002,NA
PAL0910,N47A2,9.0107900000000001,-26.380849999999999,NA
PAL0910,N49A1,9.2150999999999996,-26.225300000000001,NA
PAL0910,N49A2,9.5192899999999998,-25.691990000000001,NA
PAL0910,N51A1,9.0264199999999999,-25.864820000000002,NA
PAL0910,N51A2,8.8569899999999997,-25.80208,NA
PAL0910,N53A1,8.7732200000000002,-26.489730000000002,NA
PAL0910,N53A2,9.5924499999999995,-25.70711,NA
PAL0910,N55A1,9.7953200000000002,-25.273849999999999,NA
PAL0910,N55A2,9.3173499999999994,-25.451709999999999,NA
PAL0910,N58A1,8.4395100000000003,-26.57563,NA
PAL0910,N58A2,8.6546599999999998,-26.329090000000001,NA
PAL0910,N60A1,9.0265699999999995,-26.06203,NA
PAL0910,N60A2,8.8018599999999996,-26.412179999999999,NA
PAL0910,N61A1,8.8096700000000006,-26.789580000000001,NA
PAL0910,N61A2,8.9143399999999993,-26.420179999999998,NA
PAL0910,N63A1,9.1802100000000006,-25.772639999999999,NA
PAL0910,N63A2,9.4964499999999994,-26.366779999999999,NA
PAL0910,N64A1,8.9643599999999992,-23.903089999999999,NA
PAL0910,N64A2,9.3227700000000002,-26.099889999999998,NA
PAL0910,N66A1,9.0429600000000008,-26.19444,Nest never observed with full clutch.
PAL0910,N66A2,9.1106599999999993,-26.425630000000002,Nest never observed with full clutch.
PAL0910,N67A1,9.3072199999999992,-25.610389999999999,NA
PAL0910,N67A2,9.5946200000000008,-25.426210000000001,NA
PAL0910,N69A1,8.8166799999999999,-25.953990000000001,NA
PAL0910,N69A2,9.2253699999999998,-25.608260000000001,NA
PAL0910,N71A1,8.8809799999999992,-25.897410000000001,NA
PAL0910,N71A2,8.5256600000000002,-26.0245,NA
PAL0910,N72A1,9.1903100000000002,-25.737220000000001,NA
PAL0910,N72A2,9.1070200000000003,-26.013629999999999,NA
PAL0910,N73A1,8.9846000000000004,-25.579560000000001,Nest never observed with full clutch.
PAL0910,N73A2,8.8649500000000003,-26.139600000000002,Nest never observed with full clutch.
PAL0910,N76A1,8.98705,-25.57647,NA
PAL0910,N76A2,8.5670800000000007,-26.49288,NA
PAL0910,N77A1,8.7170000000000005,-25.779509999999998,NA
PAL0910,N77A2,8.9436499999999999,-26.069430000000001,NA
PAL0910,N78A1,8.7598400000000005,-25.976959999999998,NA
PAL0910,N78A2,8.9599799999999998,-26.32601,NA
PAL0910,N79A1,8.6165099999999999,-26.070209999999999,Nest never observed with full clutch.
PAL0910,N79A2,9.2576900000000002,-25.887979999999999,Nest never observed with full clutch.
PAL0910,N80A1,9.2881,-25.549759999999999,NA
PAL0910,N80A2,9.2340800000000005,-26.01549,NA
PAL0910,N81A1,8.7978699999999996,-26.610749999999999,NA
PAL0910,N81A2,9.0567399999999996,-25.795290000000001,NA
PAL0910,N82A1,9.0682899999999993,-25.852029999999999,NA
PAL0910,N82A2,9.2203300000000006,-26.034420000000001,NA
PAL0910,N83A1,9.1100600000000007,-25.795490000000001,NA
PAL0910,N83A2,8.6874400000000005,-25.8306,NA
PAL0910,N84A1,8.9433199999999999,-25.791889999999999,NA
PAL0910,N84A2,8.9753299999999996,-26.034949999999998,NA
PAL0910,N85A1,8.9346499999999995,-26.070810000000002,NA
PAL0910,N85A2,8.8963999999999999,-26.069669999999999,NA
PAL0708,N31A1,7.9930000000000003,-25.5139,NA
PAL0708,N31A2,8.1475600000000004,-25.393689999999999,NA
PAL0708,N32A1,8.1470500000000001,-25.46172,NA
PAL0708,N32A2,8.2553999999999998,-25.400749999999999,NA
PAL0708,N33A1,8.2345000000000006,-25.544560000000001,NA
PAL0708,N33A2,7.9953000000000003,-25.328289999999999,NA
PAL0708,N34A1,8.2451500000000006,-25.46782,NA
PAL0708,N34A2,8.2267299999999999,-25.427600000000002,NA
PAL0708,N35A1,8.1364300000000007,-25.321760000000001,NA
PAL0708,N35A2,8.1631,-25.38017,NA
PAL0708,N36A1,8.1957900000000006,-25.3933,Nest never observed with full clutch.
PAL0708,N36A2,8.1041699999999999,-25.50562,Nest never observed with full clutch.
PAL0708,N37A1,7.7767200000000001,-25.416799999999999,NA
PAL0708,N37A2,7.8208000000000002,-25.480250000000002,NA
PAL0708,N38A1,7.7995799999999997,-25.626180000000002,NA
PAL0708,N38A2,8.0713699999999999,-25.524730000000002,NA
PAL0708,N39A1,7.6388400000000001,-25.52627,NA
PAL0708,N39A2,8.2737599999999993,-25.00169,NA
PAL0708,N40A1,7.8405699999999996,-25.378990000000002,NA
PAL0708,N40A2,7.9649099999999997,-25.395869999999999,NA
PAL0708,N41A1,7.8962000000000003,-25.377459999999999,NA
PAL0708,N41A2,7.6322000000000001,-25.465689999999999,NA
PAL0708,N42A1,7.9043599999999996,-25.3947,NA
PAL0708,N42A2,7.9097099999999996,-25.38157,NA
PAL0708,N44A1,7.6852799999999997,-25.39181,NA
PAL0708,N44A2,7.8373299999999997,-25.428260000000002,NA
PAL0708,N46A1,7.9662100000000002,-25.693269999999998,Sexing primers did not amplify.
PAL0708,N46A2,7.9235800000000003,-25.483830000000001,NA
PAL0708,N47A1,7.6886999999999999,-25.508109999999999,NA
PAL0708,N47A2,8.3051499999999994,-25.190169999999998,NA
PAL0708,N50A1,NA,NA,Not enough blood for isotopes.
PAL0708,N50A2,7.6345200000000002,-25.463270000000001,NA
PAL0708,N56A1,7.9740799999999998,-25.537680000000002,NA
PAL0708,N56A2,7.7684300000000004,-25.682099999999998,NA
PAL0809,N2A1,7.8974399999999996,-26.634049999999998,NA
PAL0809,N2A2,8.0365900000000003,-26.861270000000001,NA
PAL0809,N4A1,7.9693500000000004,-26.709679999999999,NA
PAL0809,N4A2,8.1374600000000008,-26.790929999999999,NA
PAL0809,N5A1,8.0197900000000004,-26.683109999999999,NA
PAL0809,N5A2,8.1477599999999999,-26.84506,NA
PAL0809,N6A1,8.1456700000000009,-26.594670000000001,Nest never observed with full clutch.
PAL0809,N6A2,8.3832400000000007,-26.84272,Nest never observed with full clutch.
PAL0809,N7A1,8.3761500000000009,-26.727910000000001,NA
PAL0809,N7A2,8.2654800000000002,-26.7699,NA
PAL0809,N8A1,8.4689399999999999,-26.60436,NA
PAL0809,N8A2,8.2714099999999995,-26.776499999999999,NA
PAL0809,N11A1,8.4782899999999994,-26.61788,Nest never observed with full clutch.
PAL0809,N11A2,8.6580300000000001,-26.575849999999999,Nest never observed with full clutch.
PAL0809,N12A1,8.45167,-26.896439999999998,NA
PAL0809,N12A2,8.5586800000000007,-26.677990000000001,NA
PAL0809,N13A1,8.3828899999999997,-26.863520000000001,NA
PAL0809,N13A2,8.3986699999999992,-26.793579999999999,NA
PAL0809,N14A1,8.5195100000000004,-27.018540000000002,NA
PAL0809,N14A2,8.5015300000000007,-26.614139999999999,NA
PAL0809,N15A1,8.4878900000000002,-26.83006,NA
PAL0809,N15A2,8.6348800000000008,-26.756209999999999,NA
PAL0809,N16A1,8.5831900000000001,-26.844149999999999,NA
PAL0809,N16A2,8.6360399999999995,-26.748899999999999,NA
PAL0809,N17A1,8.48367,-26.864850000000001,NA
PAL0809,N17A2,8.7464700000000004,-26.798459999999999,NA
PAL0809,N18A1,8.65015,-26.79053,NA
PAL0809,N18A2,8.6009200000000003,-26.84374,NA
PAL0809,N19A1,8.6287000000000003,-26.604839999999999,NA
PAL0809,N19A2,8.4966200000000001,-26.841660000000001,NA
PAL0809,N20A1,8.6044699999999992,-26.616009999999999,NA
PAL0809,N20A2,8.4706700000000001,-26.691659999999999,NA
PAL0809,N51A1,8.2425300000000004,-26.8154,Sexing primers did not amplify.
PAL0809,N51A2,8.4985400000000002,-26.748090000000001,NA
PAL0809,N53A1,8.6493099999999998,-26.688669999999998,NA
PAL0809,N53A2,8.63551,-26.74249,NA
PAL0809,N54A1,8.5301799999999997,-26.727509999999999,NA
PAL0809,N54A2,8.3507800000000003,-26.707830000000001,NA
PAL0809,N55A1,8.2465100000000007,-26.66958,NA
PAL0809,N55A2,8.5848700000000004,-26.5929,NA
PAL0809,N56A1,8.4793800000000008,-26.954699999999999,NA
PAL0809,N56A2,8.5963999999999992,-26.71199,NA
PAL0809,N58A1,8.3929899999999993,-26.787330000000001,NA
PAL0809,N58A2,8.4032699999999991,-26.76821,NA
PAL0809,N60A1,8.2469400000000004,-26.653590000000001,NA
PAL0809,N60A2,8.1974900000000002,-26.659310000000001,NA
PAL0910,N1A1,8.3580199999999998,-26.276599999999998,NA
PAL0910,N1A2,8.2860099999999992,-26.275729999999999,NA
PAL0910,N6A1,8.1910100000000003,-26.243690000000001,NA
PAL0910,N6A2,8.2004199999999994,-26.39677,NA
PAL0910,N8A1,8.1123799999999999,-26.203720000000001,NA
PAL0910,N8A2,8.2742799999999992,-26.300190000000001,NA
PAL0910,N13A1,8.2346800000000009,-26.18599,NA
PAL0910,N13A2,8.1542600000000007,-26.343299999999999,NA
PAL0910,N14A1,8.1269100000000005,-26.236129999999999,NA
PAL0910,N14A2,8.2759499999999999,-26.116569999999999,NA
PAL0910,N15A1,8.2967099999999991,-26.085470000000001,NA
PAL0910,N15A2,8.3670100000000005,-25.898340000000001,NA
PAL0910,N18A1,8.1556599999999992,-26.228480000000001,NA
PAL0910,N18A2,8.83352,-25.691949999999999,NA
PAL0910,N19A1,8.20106,-26.165240000000001,NA
PAL0910,N19A2,8.27102,-26.112439999999999,NA
PAL0910,N20A1,8.0362399999999994,-26.065940000000001,NA
PAL0910,N20A2,7.8880999999999997,-26.047260000000001,NA
PAL0910,N21A1,8.1658200000000001,-26.139710000000001,NA
PAL0910,N21A2,8.2065999999999999,-26.36863,NA
PAL0910,N22A1,8.1023099999999992,-26.187629999999999,NA
PAL0910,N22A2,8.3117999999999999,-26.35425,NA
PAL0910,N23A1,8.3081700000000005,-26.21651,NA
PAL0910,N23A2,8.6591400000000007,-25.79203,NA
PAL0910,N24A1,8.2581799999999994,-26.238859999999999,Sexing primers did not amplify.
PAL0910,N24A2,8.3235899999999994,-26.057559999999999,NA
PAL0910,N28A1,8.1231100000000005,-26.448149999999998,NA
PAL0910,N28A2,8.4101700000000008,-26.33867,NA
PAL0910,N29A1,8.4207000000000001,-26.38092,NA
PAL0910,N29A2,8.4573800000000006,-26.22664,NA
PAL0910,N32A1,8.2469099999999997,-26.184660000000001,NA
PAL0910,N32A2,8.2922600000000006,-26.210190000000001,NA
PAL0910,N34A1,8.2163400000000006,-26.11046,NA
PAL0910,N34A2,8.7855699999999999,-25.761469999999999,NA
PAL0910,N35A1,8.3023100000000003,-25.960129999999999,NA
PAL0910,N35A2,8.0835399999999993,-26.181609999999999,NA
PAL0910,N36A1,8.0411099999999998,-26.184439999999999,Sexing primers did not amplify.
PAL0910,N36A2,8.3382500000000004,-25.885470000000002,NA
PAL0910,N38A1,7.9918399999999998,-26.205380000000002,Nest never observed with full clutch.
PAL0910,N38A2,NA,NA,Adult not sampled. Nest never observed with full clutch.
PAL0910,N39A1,8.4115099999999998,-26.13832,NA
PAL0910,N39A2,8.30166,-26.041170000000001,NA
PAL0910,N43A1,8.2424599999999995,-26.119689999999999,NA
PAL0910,N43A2,8.3638999999999992,-26.15531,NA
PAL0708,N61A1,9.0393500000000007,-24.302289999999999,Nest never observed with full clutch.
PAL0708,N61A2,8.9206900000000005,-24.23592,Nest never observed with full clutch.
PAL0708,N62A1,9.2907799999999998,-24.755700000000001,NA
PAL0708,N62A2,8.6470099999999999,-24.62717,NA
PAL0708,N64A1,9.0064200000000003,-24.618670000000002,NA
PAL0708,N64A2,8.8894199999999994,-24.494330000000001,NA
PAL0708,N66A1,8.8566400000000005,-24.556439999999998,NA
PAL0708,N66A2,8.6370100000000001,-24.840589999999999,NA
PAL0708,N67A1,8.4717300000000009,-24.292290000000001,NA
PAL0708,N67A2,8.7958099999999995,-24.360880000000002,NA
PAL0708,N68A1,8.9506300000000003,-24.598970000000001,NA
PAL0708,N68A2,8.6874699999999994,-24.387509999999999,NA
PAL0708,N69A1,8.7203700000000008,-24.805260000000001,NA
PAL0708,N69A2,9.0233000000000008,-24.389330000000001,NA
PAL0708,N70A1,9.1227699999999992,-24.90024,NA
PAL0708,N70A2,9.8058999999999994,-24.729399999999998,NA
PAL0708,N71A1,10.020189999999999,-24.547039999999999,Nest never observed with full clutch.
PAL0708,N71A2,9.1438199999999998,-24.579940000000001,Nest never observed with full clutch.
PAL0708,N72A1,9.3210499999999996,-24.64162,NA
PAL0708,N72A2,9.2715800000000002,-24.643350000000002,NA
PAL0708,N73A1,9.3513800000000007,-24.687899999999999,NA
PAL0708,N73A2,9.42666,-24.263750000000002,NA
PAL0708,N85A1,9.3541600000000003,-25.011849999999999,Nest never observed with full clutch.
PAL0708,N85A2,9.2815300000000001,-24.971340000000001,Nest never observed with full clutch.
PAL0708,N89A1,9.7414400000000008,-24.594670000000001,Nest never observed with full clutch.
PAL0708,N89A2,9.3679900000000007,-24.471419999999998,Nest never observed with full clutch.
PAL0809,N61A1,8.9398999999999997,-23.890170000000001,Nest never observed with full clutch.
PAL0809,N61A2,9.6307399999999994,-24.34684,Nest never observed with full clutch.
PAL0809,N62A1,9.3736899999999999,-24.528960000000001,NA
PAL0809,N62A2,9.2517700000000005,-24.696380000000001,NA
PAL0809,N63A1,9.0845800000000008,-24.549029999999998,NA
PAL0809,N63A2,9.4928299999999997,-24.599959999999999,NA
PAL0809,N65A1,9.3666800000000006,-24.45195,NA
PAL0809,N65A2,9.2319600000000008,-24.172820000000002,NA
PAL0809,N67A1,9.7548600000000008,-24.311979999999998,NA
PAL0809,N67A2,9.0782500000000006,-25.145499999999998,NA
PAL0809,N69A1,8.8350200000000001,-24.65859,NA
PAL0809,N69A2,9.4314599999999995,-24.6844,NA
PAL0809,N72A1,9.8058899999999998,-24.737349999999999,Nest never observed with full clutch.
PAL0809,N72A2,10.02544,-24.908159999999999,Nest never observed with full clutch.
PAL0809,N74A1,9.5326199999999996,-24.668669999999999,NA
PAL0809,N74A2,9.6173400000000004,-24.66188,NA
PAL0809,N75A1,10.023720000000001,-24.865939999999998,NA
PAL0809,N75A2,9.3649299999999993,-24.662590000000002,NA
PAL0910,N86A1,9.4368400000000001,-24.165659999999999,NA
PAL0910,N86A2,9.4582700000000006,-24.35575,NA
PAL0910,N87A1,9.4681899999999999,-24.45721,NA
PAL0910,N87A2,9.3408899999999999,-24.451889999999999,NA
PAL0910,N88A1,9.6895000000000007,-24.430620000000001,NA
PAL0910,N88A2,9.3216900000000003,-24.415620000000001,NA
PAL0910,N90A1,9.4692900000000009,-24.484030000000001,NA
PAL0910,N90A2,9.4378200000000003,-24.362020000000001,NA
PAL0910,N92A1,9.4149999999999991,-24.805,NA
PAL0910,N92A2,9.9372699999999998,-24.59066,NA
PAL0910,N93A1,9.5653400000000008,-24.608820000000001,NA
PAL0910,N93A2,9.7752800000000004,-24.564810000000001,NA
PAL0910,N94A1,9.6235700000000008,-24.789840000000002,NA
PAL0910,N94A2,9.88809,-24.595130000000001,NA
PAL0910,N95A1,9.7449200000000005,-24.404,NA
PAL0910,N95A2,9.4698499999999992,-24.657859999999999,NA
PAL0910,N96A1,NA,-23.787669999999999,No delta15N data received from lab.
PAL0910,N96A2,9.6506100000000004,-24.481529999999999,NA
PAL0910,N98A1,9.2671500000000009,-24.319120000000002,NA
PAL0910,N98A2,9.7046500000000009,-24.534939999999999,NA
PAL0910,N99A1,9.37608,-24.407530000000001,Nest never observed with full clutch.
PAL0910,N99A2,9.4618000000000002,-24.706150000000001,Nest never observed with full clutch.
PAL0910,N100A1,9.9804399999999998,-24.68741,NA
PAL0910,N100A2,9.3930500000000006,-24.252549999999999,NA
